query,pos,query_en,pos_en
Diện tích biển Việt Nam khoảng bao nhiêu km2,"Diện tích Việt Nam là 331.698 km2, bao gồm khoảng 327.480 km2 đất liền và hơn 4.500 km2 vùng nước nội thủy (hồ nước ngọt lớn, mặt sông lớn, biển nội thủy ven biển), với hơn 2.800 hòn đảo, bãi đá ngầm lớn nhỏ, gần và xa bờ, bao gồm cả Trường Sa và Hoàng Sa mà Việt Nam tuyên bố chủ quyền.",How much area of Vietnam sea is about km2,"The area of Vietnam is 331,698 km2, including about 327,480 km2 of land and more than 4,500 km2 of internal waters (large freshwater lakes, large river surfaces, coastal internal waters), with more than 2,800 islands, large and small reefs, near and offshore, including the Spratlys and Paracels that Vietnam claims."
Con người có nguồn gốc từ loài động vật tiến hóa nào,"Khả năng kết nối con người với loài khỉ trước đó theo huyết thống trở nên rõ ràng chỉ sau năm 1859 với việc Charles Darwin xuất bản ""Nguồn gốc các loài"", trong đó ông lập luận cho ý tưởng về sự tiến hóa của những loài mới từ loài trước đó. Cuốn sách của Darwin đã không giải quyết câu hỏi về sự tiến hóa của con người, chỉ nói rằng ""Ánh sáng sẽ làm sáng tỏ về nguồn gốc của con người và lịch sử của mình.""",What evolutionary animal do humans descend from?,"The possibility of connecting humans with previous apes by bloodlines became clear only after 1859 with the publication of Charles Darwin's ""On the Origin of Species"", in which he argued for the idea of the evolution of new species from previous ones. Darwin's book did not address the question of human evolution, saying only that ""The light will shed light on the origin of man and his history."""
Con người có nguồn gốc từ loài động vật tiến hóa nào,"Có hai lý thuyết khoa học về sự hình thành nguồn gốc con người hiện đại. Tất cả đều có liên quan đến quan hệ giữa con người và những loài linh trưởng khác. ""Thuyết một nguồn gốc từ châu Phi"" cho rằng tất cả loài người hiện đại đều tiến hóa ở châu Phi và về sau, con người sinh sản nhanh lấn chiếm các loài linh trưởng khác trên tất cả mọi nơi trên thế giới. ""Thuyết nguồn gốc đa vùng"" cho rằng sự tiến hóa của loài người diễn ra riêng lẻ ở những quần thể Homo erectus tại các vùng khác nhau.",What evolutionary animal do humans descend from?,"There are two scientific theories about the origin of modern humans. They all relate to the relationship between humans and other primates. The ""African one - origin theory"" holds that all modern humans evolved in Africa and, later, humans reproduced to colonize other primates everywhere in the world. The ""Multiregional origin theory"" holds that human evolution took place individually in Homo erectus populations in different regions."
Loại cá gì sống được cả ở biển và ở sông,"Đa số loài cá chỉ sống trọn đời trong sông hoặc trong biển. Tuy nhiên, cũng có một số chủng loại cá, trong cả cuộc đời chúng chỉ sống trong biển ở một giai đoạn nào đó, như con lịch phải bơi vào trong sông để đẻ trứng. Có loại cá sinh ra ở trong sông nhưng lại bơi ra ngoài biển như cá hương, cá tầm, cá hồi.",What kind of fish lives both in the sea and in the river,"Most fish live only in the river or in the sea. However, there are also some types of fish, in their entire life they only live in the sea at some stage, such as calendars must swim into the river to lay eggs. There are fish born in the river but swim out to sea such as perch, sturgeon, salmon."
Loại cá gì sống được cả ở biển và ở sông,"Ở Việt Nam, Cá mòi trên sông Hồng có nhiều từ tháng giêng đến tháng tư âm lịch và rộ nhất vào thời điểm hoa gạo bung nở. Loại cá này có thể sống cả ở nước mặn biển Đông và nước ngọt sông Hồng, bến đò Vũ Điện xã Hoàng Hanh, thành phố Hưng Yên được xem là vựa cá mòi lớn nhất. Ở đây mực nước sâu, lại là ngã ba sông Hồng, sông Luộc, sông Nam Định, nên cá về nhiều.",What kind of fish lives both in the sea and in the river,"In Vietnam, Sardines on the Red River are abundant from January to April of the lunar calendar and are most abundant at the time of rice blooming. This type of fish can live both in the East Sea saltwater and freshwater Red River, Wharf Vu Dien Hoang Hanh commune, Hung Yen city is considered the largest sardine. Here the water level is deep, the junction of the Red River, Boiled River, Nam Dinh River, so many fish."
Nhà hát chèo Hưng Yên thành lập năm nào,"Năm 1997, khi tái lập tỉnh Hưng Yên thì Ðoàn chèo Hưng Yên cũng được thành lập từ nguồn diễn viên, nhạc công của Ðoàn chèo Hải Hưng cũ. Khi đầu chỉ có 12 cán bộ, diễn viên nhưng chỉ sau hơn mười năm, Ðoàn chèo Hưng Yên đã trở thành một đơn vị nghệ thuật có vị trí xứng đáng trong làng sân khấu chuyên nghiệp của Việt Nam.",What year was Hung Yen Rowing Theatre established?,"In 1997, when re-establishing Hung Yen province, the Hung Yen Oarn was also established from the actors and musicians of the old Hai Hung Oarn. At first there were only 12 officials and actors, but after just over ten years, Hung Yen Oarn has become an art unit with a worthy position in the professional theater village of Vietnam."
"Hiện nay, Việt Nam có bao nhiêu nhà mạng","Tại Việt Nam hiện nay có các nhà mạng di động đang hoạt động đó là Viettel, Vinaphone, Mobifone, Gmobile và Vietnamobile, mỗi nhà mạng có phát hành một loại thẻ nạp ( thẻ điện thoại) riêng. Thẻ điện thoại được sử dụng để nạp tiền cho các thuê bao trả trước, trả sau của những nhà mạng trên bằng cách nhập mã thẻ theo cú pháp..","Currently, how many carriers in Vietnam","In Vietnam, there are currently operating mobile carriers such as Viettel, Vinaphone, Mobifone, Gmobile and Vietnamobile, each of which has its own recharge card. The phone card is used to recharge prepaid and postpaid subscribers of these carriers by entering the card code in syntax."
Mark Yi Tuan là thành viên nhóm nhạc nào,"Mark Yi-En Tuan (Hangul:마크투 안; Hanja:段宜恩; Hán Việt: Đoàn Nghi Ân) thường được biết đến với nghệ danh Mark (Hangul:마크) hay Mark Tuan, là một nam ca sĩ, vũ công, rapper người Mỹ gốc Đài Loan, thành viên nhóm nhạc thần tượng GOT7 do công ty JYP Entertainment thành lập và quản lý.",What group is Mark Yi Tuan a member of?,"Mark Yi-En Tuan (Hangul:마크투 안; Hanja:段宜恩) commonly known by his stage name Mark (Hangul:마크) or Mark Tuan, is a Taiwanese-American singer, dancer, rapper, and member of the idol group GOT7 founded and managed by JYP Entertainment."
Mark Yi Tuan là thành viên nhóm nhạc nào,". Original thành viên của ban nhạc kpop cậu bé đoạt giải thưởng GOT7 cùng với Im Jae-bum, Jackson Wang, Park Jin-young, Choi Youngjae, bambam và Kim Yugyeom   Ông xuất hiện trên các chương trình truyền hình là ai tiếp theo:. WIN",What group is Mark Yi Tuan a member of?,"Original member of the award-winning boy kpop band GOT7 alongside Im Jae-bum, Jackson Wang, Park Jin-young, Choi Youngjae, Bambam and Kim Yugyeom He appeared on the TV show Who's Next: WIN."
Thế giới có những trường phái nghệ thuật gì,"Thời kỳ Khai sáng ở phương Tây thế kỷ 18 cho thấy những thể hiện mang tính nghệ thuật về những niềm tin duy lý về vũ trụ, cũng như những mơ tưởng về một thế giới hậu quân chủ, như trong cách mô tả của William Blake về Newton, hay trong những bức tranh tuyên truyền của Jacques-Louis David. Những cách thể hiện này bị chủ nghĩa lãng mạn từ bỏ sau đó; trào lưu nghệ thuật mới này chú ý đến những hình ảnh về khía cạnh cảm xúc và tính cá thể của con người, như có thể thấy trong những tiểu thuyết của Goethe. Cuối thế kỷ 19, người ta chứng kiến sự ra đời của một loạt những trào lưu nghệ thuật như nghệ thuật kinh viện, trường phái tượng trưng, trường phái ấn tượng, và trường phái dã thú, cũng những trường phái khác.",What are the schools of art in the world,"The Enlightenment in the 18th - century West saw artistic expressions of rational beliefs about the universe, as well as fantasies about a post-monarchy world, as in William Blake's depiction of Newton, or in Jacques - Louis David's propaganda paintings. These expressions were abandoned by Romanticism afterwards; this new art movement focused on images of the emotional and individual aspects of people, as can be seen in Goethe's novels. The late 19th century saw the birth of a series of artistic movements such as scholastic art, symbolism, impressionism, and Fauvism, among others."
Thế giới có những trường phái nghệ thuật gì,"Cùng với sự phổ biến Phật giáo, nhiều trường phái nghệ thuật Phật giáo xuất hiện song song với các trường phái giáo lý Phật giáo lớn như là Tiểu thừa, Đại thừa và Kim cương thừa. Các trường phái này có nhiều điểm giống nhau, nhưng mặt khác cũng phát triển những nét rất đặc thù. Thông thường, người ta phân biệt giữa hai nhánh chính, đó là Nghệ thuật Phật giáo Bắc truyền (Đại thừa) và Nghệ thuật Phật giáo Nam truyền (Tiểu thừa). Trong khi các thành phần đối xứng và tư thế ngày càng được nghệ thuật Bắc truyền lý tưởng hóa nhằm ứng đáp quan điểm Phật là ""xuất thế nhân"", mang những đặc tướng siêu việt thì các trường phái Nam truyền có vẻ vẫn biểu hiện Phật với những nét của ""thế nhân"", xem Phật vẫn là một người, mang thân thể của con người.",What are the schools of art in the world,"Along with the popularity of Buddhism, many schools of Buddhist art appear in parallel with the major schools of Buddhist teachings such as Mahayana, Mahayana and Vajrayana. These schools have many similarities, but on the other hand also develop very specific features. Often, people distinguish between two main branches, namely Northern Traditional Buddhist Art ( Mahayana) and Southern Traditional Buddhist Art (Mahayana). While the symmetry and posture components are increasingly idealized by Northern Traditional art to meet the Buddhist view of ""human superiority"", carrying transcendent traits, the Southern Traditional schools seem to still express the Buddha with the features of ""human superiority"", considering the Buddha is still a person, carrying the human body."
Ngày Tết Trung Thu được mừng ở các quốc gia nào,"Tết Trung Thu là lễ hội tại các quốc gia Đông Á và Đông Nam Á như Trung Quốc, Việt Nam, Nhật Bản, Triều Tiên, Đài Loan, Singapore, ngày này cũng là ngày nghỉ lễ quốc gia tại Đài Loan, Bắc Triều Tiên và Hàn Quốc.",In what countries is the Mid-Autumn Festival celebrated,"Mid-Autumn Festival is a festival celebrated in East Asian and Southeast Asian countries such as China, Vietnam, Japan, Korea, Taiwan, Singapore, which is also a national holiday in Taiwan, North Korea and South Korea."
Tổ Chức kinh tế APEC năm 2017 được tổ chức ở đâu,"Năm 2017, tổ chức Hội nghị Thượng đỉnh APEC vào tháng 11.",Where is the APEC Economic Organization in 2017 held,"In 2017, the APEC Summit was held in November."
Ai là người Việt Nam đầu tiên đi vào vũ trụ,Trung tướng Phạm Tuân: Là người đầu tiên của Việt Nam bay vào vũ trụ và đồng thời là người đầu tiên bắn hạ được máy bay B-52 từ trên không,Who was the first Vietnamese to go into space,Lt. Gen. Pham Tuan: The first Vietnamese to fly into space and also the first to shoot down B-52 aircraft from the air
Ai là người Việt Nam đầu tiên đi vào vũ trụ,"Phạm Tuân (sinh năm 1947) là phi công, phi hành gia người Việt Nam. Ông là người đầu tiên của Việt Nam và châu Á bay lên vũ trụ vào năm 1980 trong chương trình Interkosmos của Liên Xô.",Who was the first Vietnamese to go into space,Pham Tuan (born 1947) is a Vietnamese pilot and astronaut. He was the first Vietnamese and Asian to fly into space in 1980 during the Soviet Interkosmos program.
Nước Việt Nam có bao nhiêu dân tộc khác nhau,"Đất nước Việt Nam có 54 dân tộc anh em chung sống với nhau qua hàng ngàn năm dựng nước và giữ nước. Trong đó có hai dân tộc sống ở rẽo cao tỉnh Quảng Trị - những người Vân Kiều, Pa Cô - được vinh dự mang họ Hồ - họ của Chủ tịch Hồ Chí Minh.",How many different ethnic groups in Vietnam,"The country of Vietnam has 54 ethnic groups living together through thousands of years of building and maintaining the country. Among them, two ethnic groups living in the high turn of Quang Tri province - the Van Kieu and Pa Co people - are honored to bear the surname Ho - the surname of President Ho Chi Minh."
quê của đại tướng Võ Nguyên Giáp ở đâu,Đây là quê hương của đại tướng Võ Nguyên Giáp (làng An Xá). Hiện nay ngôi nhà của đại tướng Võ Nguyên Giáp là nhà lưu niệm.,Where is General Vo Nguyen Giap's hometown?,"This is the hometown of General Vo Nguyen Giap (An Xa village). Currently, General Vo Nguyen Giap's house is a souvenir house."
quê của đại tướng Võ Nguyên Giáp ở đâu,"Ngày 12 tháng 8 năm 2014, Ủy ban Nhân dân tỉnh Quảng Bình đổi tên trường thành trường Trung học phổ thông chuyên Võ Nguyên Giáp, đặt theo tên của cố đại tướng Võ Nguyên Giáp quê Lệ Thủy, Quảng Bình (quyết định số 2133/QĐ-UBND).",Where is General Vo Nguyen Giap's hometown?,"On August 12, 2014, the People's Committee of Quang Binh province renamed the school to Vo Nguyen Giap High School for the Gifted, named after the late General Vo Nguyen Giap from Le Thuy, Quang Binh province (Decision No. 2133/QD-UBND)."
quê của đại tướng Võ Nguyên Giáp ở đâu,"Văn phòng Ban chấp hành Trung ương Đảng thông báo tang lễ Đại tướng Võ Nguyên Giáp được tổ chức trọng thể theo nghi thức Quốc tang trong hai ngày 12 và 13 tháng 10 năm 2013. Ông được an táng tại quê hương Quảng Bình, theo ý nguyện của ông và gia đình. Địa điểm an táng là khu vực Vũng Chùa - Đảo Yến thuộc xã Quảng Đông, Quảng Trạch tỉnh Quảng Bình, nằm cách đèo Ngang khoảng 4 km.",Where is General Vo Nguyen Giap's hometown?,"The Office of the Central Committee of the Communist Party of Vietnam announced that General Vo Nguyen Giap's funeral will be held in accordance with the national mourning ceremony on October 12 and 13, 2013. He will be buried in his hometown of Quang Binh, according to his wishes and his family. The burial site is Vung Chua - Dao Yen in Quang Dong commune, Quang Trach province, about 4 km from Ngang pass."
Eo biển BêRing nối liền hai đại dương nào,"Dọc theo rìa phía tây của Thái Bình Dương tồn tại rất nhiều biển, lớn nhất trong số đó phải kể đến biển Celebes, biển Coral, biển Hoa Đông, biển Philippine, biển Nhật Bản, biển Đông, biển Sulu, biển Tasman, và Hoàng Hải. Trong khi eo biển Malacca nối liền Thái Bình Dương và Ấn Độ Dương ở phía tây thì ở phía đông, hai eo biển Drake và Magellan nối liền Thái Bình Dương với Đại Tây Dương. Ở phía bắc, Thái Bình Dương nối với Bắc Băng Dương qua eo biển Bering.",What two oceans does the Bering Strait connect?,"Along the western edge of the Pacific Ocean lie many seas, the largest of which are the Celebes Sea, Coral Sea, East China Sea, Philippine Sea, Sea of Japan, South China Sea, Sulu Sea, Tasman Sea, and Yellow Sea. While the Strait of Malacca connects the Pacific Ocean and the Indian Ocean to the west, to the east, the Drake and Magellan Straits connect the Pacific Ocean to the Atlantic Ocean. To the north, the Pacific Ocean connects to the Arctic Ocean through the Bering Strait."
Nhà Trần trải qua bao nhiêu vị vua,"Do Trùng Quang đế và Giản Định đế đều là thành viên hoàng tộc nhà Trần, có công lãnh đạo nhân dân chống ngoại xâm nên dù thất bại trong việc khôi phục nhà Trần và nước Đại Việt, họ vẫn được người dân coi là 2 vị vua chính thống của nhà Trần và nước Đại Việt. Do vậy các đền thờ nhà Trần thường có tượng thờ và bài vị 14 vị vua (gồm 12 vua nhà Trần và 2 vua nhà Hậu Trần).",How many kings has the Tran dynasty gone through?,"Due to the fact that Truong Quang emperor and Gian Dinh emperor were both members of the Tran dynasty, and had the merit of leading the people against foreign invaders, despite the failure to restore the Tran and Dai Viet dynasties, they are still considered by the people as the two legitimate kings of the Tran and Dai Viet dynasties. Therefore, Tran temples often have statues and altars of 14 kings (including 12 kings of the Tran dynasty and 2 kings of the Tran dynasty)."
Thành phố của Gia Lai tên là gì,"""Chùa Minh Thành"" nằm cách trung tâm thành phố Pleiku khoảng 2Km tọa lạc ở số 348 đường Nguyễn Viết Xuân, phường Hội Phú, thành phố Pleiku, tỉnh Gia Lai. ""Chùa Minh Thành"" được xem là điểm tham quan hấp dẫn của thành phố Pleiku - Gia Lai.",What is the name of the city of Gia Lai,"""Minh Thanh Pagoda"" is located about 2km from Pleiku city center, located at 348 Nguyen Viet Xuan Street, Hoi Phu Ward, Pleiku City, Gia Lai Province. ""Minh Thanh Pagoda"" is considered an attractive sightseeing spot of Pleiku City - Gia Lai."
Thành phố của Gia Lai tên là gì,"Hiện nay, địa danh ""Pleiku"" chỉ còn được dùng để chỉ thành phố Pleiku, đơn vị hành chính cấp huyện trực thuộc tỉnh Gia Lai và là tỉnh lỵ của tỉnh Gia Lai.",What is the name of the city of Gia Lai,"At present, the place name Pleiku is only used to refer to Pleiku city, a district - level administrative unit under Gia Lai province and the provincial capital of Gia Lai province."
Nước Việt Nam ra nhập ASEAN năm nào,1995 gia nhập ASEAN,What year does Vietnam join ASEAN?,1995 joined ASEAN
Nước Việt Nam ra nhập ASEAN năm nào,"Việt Nam gia nhập Liên Hiệp Quốc vào năm 1977. Từ sau thời kỳ đổi mới, Việt Nam chính thức bình thường hóa quan hệ với Trung Quốc vào năm 1992 và với Hoa Kỳ vào năm 1995, gia nhập khối ASEAN năm 1995.",What year does Vietnam join ASEAN?,"Vietnam joined the United Nations in 1977. After the renewal period, Vietnam formally normalized relations with China in 1992 and with the United States in 1995, joining the ASEAN bloc in 1995."
Hành tinh nào là hành tinh nhỏ nhất trong vũ trụ,"Sao Thủy, Sao Kim, Trái Đất và Sao Hỏa. Với khối lượng bằng 0,055 lần khối lượng của Trái Đất, Sao Thủy là hành tinh đất đá nhỏ nhất (và là hành tinh nhỏ nhất) trong Hệ Mặt Trời, trong khi Trái Đất là hành tinh đất đá lớn nhất.",Which planet is the smallest planet in the universe,"Mercury, Venus, Earth, and Mars. With a mass of 0.055 times the mass of Earth, Mercury is the smallest (and smallest) terrestrial planet in the Solar System, while Earth is the largest."
Chiều dài bờ biển hiện tại của Việt Nam là bao nhiêu,"Việt Nam có 3.360 km đường bờ biển. Dự kiến quy hoạch chi tiết tuyến đường bộ ven biển Việt Nam trong tương lai là tuyến đường bắt đầu tại cảng Núi Đỏ, Mũi Ngọc (xã Bình Ngọc, Móng Cái, Quảng Ninh) tới cửa khẩu Hà Tiên (thị xã Hà Tiên, Kiên Giang) với chiều dài khoảng 3.041 km.",What is the current length of Vietnam's coastline,"Vietnam has 3,360 km of coastline. The detailed planning of Vietnam's coastal road in the future is the route starting at Nui Do port, Mui Ngoc (Binh Ngoc commune, Mong Cai, Quang Ninh) to Ha Tien border gate (Ha Tien town, Kien Giang) with a length of about 3,041 km."
Chiều dài bờ biển hiện tại của Việt Nam là bao nhiêu,"Bãi biển Việt Nam, hay để liệt kê một cách chính xác hơn là các bãi tắm có thể đã, đang và sẽ phục vụ du lịch dọc bờ biển Việt Nam, là một hệ thống gồm nhiều bãi nằm trải dài từ Bắc vào Nam. Việt Nam có bờ biển dài hơn 3.400 km.",What is the current length of Vietnam's coastline,"Vietnam's beaches, or to more accurately list the beaches that may have been, are, and will serve tourism along Vietnam's coastline, are a system of beaches stretching from the North to the South. Vietnam has a coastline of over 3,400 km."
Thùy chẩm là cơ quan thuộc bộ phận nào của não,"Hai thùy chẩm là cặp thùy nhỏ nhất trong số bốn cặp thùy của vỏ đại não người. Nằm ở vị trí tận cùng của sọ, thùy chẩm là một phần của não trước. Không một thùy thuộc vỏ não nào được định nghĩa bằng bất cứ đặc điểm cấu trúc bên trong nào, mà thay vào đó bởi các xương của xương đầu mà nằm phía trên chúng. Do đó, thùy chẩm được định nghĩa như một phần của vỏ đại não nằm bên dưới xương chẩm. (Xem bài não người để biết thêm chi tiết.)",What part of the brain is the occipital lobe,"The two occipital lobes are the smallest pair of lobes among the four pairs of lobes of the human cerebral cortex. Located at the end of the skull, the occipital lobe is part of the anterior brain. None of the cortical lobes are defined by any internal structural feature, but instead by the bones of the head bones that lie above them. Therefore, the occipital lobe is defined as part of the cerebral cortex that lies below the occipital bone. (See the human brain article for more details.)"
Thùy chẩm là cơ quan thuộc bộ phận nào của não,"Xương chẩm (tiếng Anh: Occipital bone; ) là một xương da sọ và là xương chính của chẩm (phần sau và phần dưới của hộp sọ). Nó có hình thang và cong như một món ăn cạn. Các xương chẩm phủ lên thùy chẩm của đại não. Tại phần cơ sở của sọ trong xương chẩm có một lỗ lớn hình chữ nhật gọi là ""lỗ chẩm"" (""foramen magnum"") cho phép tủy sống đi qua.",What part of the brain is the occipital lobe,"The occipital bone (English: Occipital bone; ) is a skull skin bone and the main bone of the occipital (back and lower part of the skull). It is trapezoidal and curved like a shallow dish. The occipital bones cover the occipital lobe of the cerebellum. At the base of the skull in the occipital bone there is a large rectangular hole called a ""occipital hole"" (""foramen magnum"") that allows the spinal cord to pass through."
Loài chim nào hiện giờ nằm trong danh sách quý hiếm ở Việt Nam,"Sếu đầu đỏ, hay còn gọi là sếu cổ trụi, danh pháp ba phần: ""Grus antigone sharpii"", là một phân loài của loài sếu Sarus. Đây là phân loài chim quý hiếm tại miền nam Việt Nam, nằm trong Sách đỏ Việt Nam và Sách đỏ IUCN thế giới.",Which birds are now on the rare list in Vietnam,"The red-headed crane (Grus antigone sharpii) is a subspecies of Sarus crane. It is a rare bird in southern Vietnam, included in the Vietnam Red Book and the World Red Book of IUCN."
Loài chim nào hiện giờ nằm trong danh sách quý hiếm ở Việt Nam,"Chim Công ở Việt Nam hiện được cho là có nguồn gốc, xuất xứ lâu đời từ Trung Quốc, chúng còn được gọi là hay còn gọi là công Trung Quốc hoặc công má vàng, hay công xanh Việt Nam hay công Việt Nam (vì Việt Nam chỉ có phân loài này) hoặc công nội (để phân biệt với các giống chim công nhập ngoại từ Ấn Độ) hay còn gọi đơn giản là chim công, khổng tước, công má vàng, công lục. Chim công Việt Nam đang nằm trong Sách đỏ, thuộc nhóm 1B, thuộc diện rất quý hiếm.",Which birds are now on the rare list in Vietnam,"Peacocks in Vietnam are now believed to have long-standing origins from China, they are also known as Chinese peacocks or yellow-cheeked peacocks, Vietnamese peacocks or Vietnamese peacocks (because Vietnam only has this subspecies) or domestic peacocks (to distinguish them from peacock breeds imported from India) or simply called peacocks, giants, yellow-cheeked peacocks, green peacocks. Vietnamese peacocks are in the Red Book, belong to Group 1B, are very rare."
Nhà máy thủy điện Trị An được xây dựng trên sông nào,"Nhà máy thủy điện Trị An được xây dựng trên sông Đồng Nai, đoạn chảy qua huyện Vĩnh Cửu, tỉnh Đồng Nai, cách Thành phố Hồ Chí Minh 65 km về phía Đông Bắc.",What river is Tri An hydropower plant built on,"Tri An hydropower plant is built on Dong Nai river, which flows through Vinh Cuu district, Dong Nai province, 65 km northeast of Ho Chi Minh City."
Có bao nhiêu loài họ nhà mèo,"Hiện nay chi Mèo được cho là bao hàm 6 loài còn sống, mặc dù một số ý kiến cho rằng mèo nhà và mèo núi Trung Hoa được xem là hai phân loài của mèo rừng ""F. silvestris"".",How many cat families are there?,"Currently, the genus contains six living species, although some have suggested that the domestic cat and Chinese mountain cat are considered two subspecies of the forest cat ""F. silvestris""."
Trái đất có diện tích là bao nhiêu,"Tổng diện tích toàn bộ các châu lục là 148.647.000 km2, chiếm khoảng 29,05% diện tích bề mặt Trái Đất.",What's the area of the Earth?,"The total area of all the continents is 148,647,000 km2, or 29.05% of the Earth's surface area."
Có bao nhiêu tỉnh thành trực thuộc trung ương,Tỉnh hay Thành phố (trực thuộc Trung ương) là cấp hành chính địa phương cao nhất ở Việt Nam. Việt Nam hiện nay có 63 đơn vị hành chính cấp tỉnh trong đó có 5 Thành phố trực thuộc Trung ương.,How many provinces are under central authority?,Province or city (centrally-run) is the highest local administrative level in Vietnam. Vietnam currently has 63 provincial-level administrative units including 5 centrally-run cities.
Lâm đồng có bao nhiêu thành phố,"Lâm Đồng có 2 thành phố thuộc tỉnh và 10 huyện, 147 đơn vị hành chính cấp xã gồm 116 xã, 18 phường và 13 thị trấn.",How many cities is Lam Dong?,"Lam Dong has 2 provincial cities and 10 districts, 147 commune - level administrative units consisting of 116 communes, 18 wards and 13 townships."
Việt Nam gia nhập WTO vào năm nào,2007 gia nhập WTO,Which year does Vietnam join the WTO,2007 WTO accession
Việt Nam gia nhập WTO vào năm nào,"Việt Nam là thành viên của Liên Hiệp Quốc, Cộng đồng Pháp ngữ, ASEAN và APEC. Năm 2005, Việt Nam tham gia khai trương Hội nghị thượng đỉnh Đông Á, với mục đích để thay thế ASEAN trong tương lai. Việt Nam được phép gia nhập Tổ chức Thương mại Thế giới (WTO) vào ngày 7 tháng 11 năm 2006.",Which year does Vietnam join the WTO,"Vietnam is a member of the United Nations, the Francophone Community, ASEAN and APEC. In 2005, Vietnam participated in the opening of the East Asia Summit, with the aim to replace ASEAN in the future. Vietnam was allowed to join the World Trade Organization (WTO) on November 7, 2006."
Có bao nhiêu tôn giáo trên thế giới,"Có khoảng 10.000 tôn giáo khác nhau trên toàn thế giới, nhưng khoảng 84% dân số thế giới theo một trong năm nhóm tôn giáo lớn nhất, đó là Kitô giáo, Hồi giáo, Ấn Độ giáo, Phật giáo hoặc các dạng tôn giáo dân gian. Các nhân khẩu học không liên kết tôn giáo bao gồm những người không xác định với bất kỳ tôn giáo cụ thể nào, vô thần và agnostics. Trong khi số lượng những người không có tôn giáo cụ thể càng ngày càng tăng trên toàn cầu, nhiều người trong số những người không theo tôn giáo cụ thể nào vẫn có nhiều niềm tin tôn giáo khác nhau.<ref name=""Pew Global Unaffiliated 12/2012""></ref>",How many religions in the world,"There are about 10,000 different religions worldwide, but about 84% of the world's population follows one of the five largest religious groups, namely Christianity, Islam, Hinduism, Buddhism or forms of folk religion. Non-religious-affiliated demographics include people who are unidentified with any particular religion, atheists and agnostics. While the number of people without a particular religion is growing globally, many of those who do not follow a particular religion still have various religious beliefs.<ref name=""Pew Global Unaffiliated 12/2012""></ref>"
Hiện nay đã phát hiện bao nhiêu loại ung thư,"Hiện có khoảng 200 loại ung thư. Không phải tất cả các khối u là ung thư ngoài ra còn có khối u lành tính không lan sang các bộ phận khác của cơ thể. Có thể dấu hiệu và triệu chứng bao gồm một khối u, chảy máu bất thường, ho kéo dài, không giải thích được, giảm cân , và một sự thay đổi trong đại tiểu tiện. Hiện nay có khoảng hơn 100 bệnh ung thư.",How many types of cancers have been discovered today?,"There are about 200 types of cancer. Not all tumors are cancerous in addition to benign tumors that do not spread to other parts of the body. Possible signs and symptoms include a tumor, abnormal bleeding, prolonged, unexplained cough, weight loss , and a change in urination. Currently there are about more than 100 cancers."
Việt Nam từng tồn tại những nền văn hóa nào,"Văn hóa Đông Sơn là một nền văn hóa cổ từng tồn tại ở một số tỉnh miền bắc Việt Nam và bắc trung bộ Việt Nam (Phú Thọ, Yên Bái, Hòa Bình, Hà Nội, Ninh Bình, Thanh Hóa, Nghệ An, Hà Tĩnh mà trung tâm là khu vực Đền Hùng), và ba con sông lớn và chính của đồng bằng Bắc Bộ (sông Hồng, sông Mã và sông Lam) vào thời kỳ đồ đồng và thời kỳ đồ sắt sớm. Nền văn hóa này được đặt tên theo địa phương nơi các dấu tích đầu tiên của nó được phát hiện, gần sông Mã, Thanh Hóa. Nhiều dấu tích đặc trưng cho văn hóa Đông Sơn cũng được tìm thấy ở một số vùng lân cận Việt Nam như ở Vân Nam, Quảng Tây, Hải Nam của Trung Quốc, ở Lào hay ở Thái Lan...",What cultures existed in Vietnam,"Dong Son culture is an ancient culture that once existed in several provinces of northern Vietnam and north-central Vietnam (Phu Tho, Yen Bai, Hoa Binh, Hanoi, Ninh Binh, Thanh Hoa, Nghe An, Ha Tinh where the center is Hung Temple area), and three major and major rivers of the Northern Plain (Red River, Ma River and Lam River) in the Bronze Age and Early Iron Age. This culture is named after the locality where its first vestiges were discovered, near Ma River, Thanh Hoa. Many vestiges characteristic of Dong Son culture are also found in some adjacent areas of Vietnam such as in Yunnan, Guangxi, Hainan of China, in Laos or in Thailand..."
Bảng tuần hoàn hóa học do ai sáng tác,Năm 2019 được Đại hội đồng Liên Hợp Quốc chỉ định là Năm quốc tế về Bảng tuần hoàn các nguyên tố hóa học vì nó trùng với kỷ niệm 150 năm sáng chế Hệ thống bảng tuần hoàn của Dmitry Mendeleev vào năm 1869.,Whose Chemical Periodic Table Composed,2019 was designated the International Year of the Periodic Table of Chemical Elements by the United Nations General Assembly because it coincided with the 150th anniversary of Dmitry Mendeleev's invention of the Periodic Table System in 1869.
